Feature	Gain	Cover	Frequency
ctransferencias_recibidas	0.00474965927928569	0.00431065644827733	0.00672171186172137
Master_mpagospesos	0.00468622176430557	0.00548254003299077	0.00358282039860932
mtransferencias_emitidas	0.00468089005287847	0.00550006797333982	0.00486827118826473
ccallcenter_transacciones	0.00464021588543922	0.00886732154470408	0.00246776657409428
Visa_mlimitecompra	0.00460375070748316	0.00814976211988867	0.00792196416880659
mautoservicio	0.00444746285185358	0.00503027055400453	0.00500130039789186
cmobile_app_trx	0.00425715246097523	0.00354601715768444	0.00682783628737897
ctarjeta_debito_transacciones	0.00404217050513548	0.00377990558444488	0.00459473921790782
internet	0.00397987351415958	0.0136223175365867	0.00535704143037789
Master_mpagominimo	0.00365456688986751	0.00592171312277822	0.00270841491959954
ctarjeta_visa_debitos_automaticos	0.00350312046060135	0.00228620635235847	0.00323604762744647
Master_msaldopesos	0.00349809400264703	0.00382890716159179	0.00258435397129559
thomebanking	0.00329232115099541	0.00511953468974736	0.00460520218945153
mpagomiscuentas	0.00326804018522169	0.00438252529586373	0.00301333580458756
ccaja_ahorro	0.00313546818192775	0.00701351810138836	0.00227345424542544
cprestamos_personales	0.00307567440328188	0.015143571770843	0.00331825668957559
Visa_mconsumosdolares	0.00300939126964792	0.00321271456033487	0.0034198969845716
ctransferencias_emitidas	0.00291126737159054	0.0033956171806796	0.00296251565708956
Master_mconsumospesos	0.00271805611229893	0.00246361675937401	0.00248420838652011
ccaja_seguridad	0.00255669348809439	0.00928497800455873	0.000467844299025748
ccomisiones_mantenimiento	0.00252199562068374	0.011274437673164	0.00236014743821615
Master_msaldototal	0.00235588258160929	0.00319122466711792	0.0027114043400406
active_quarter	0.00231895231286796	0.00679295661841507	0.00934791771919178
mextraccion_autoservicio	0.00215095108282047	0.00266723620896147	0.00233473736446715
Visa_mconsumototal	0.00211520423449316	0.00157204225244462	0.00269795194805583
ctarjeta_visa	0.00209401776042111	0.000738836455692167	0.000464854878584689
ccuenta_debitos_automaticos	0.00206675129893605	0.00225960585887843	0.00206270010433077
cpagomiscuentas	0.00201902675831596	0.00256338437823953	0.001922197343601
Visa_mpagado	0.00195824411825419	0.00311678465191282	0.0024737454149764
mtarjeta_master_consumo	0.00189257771562955	0.00222651627718865	0.0011688633924541
matm	0.00188933573547462	0.00217742576277624	0.00173834798647586
ccajas_consultas	0.00169898846338168	0.0185190500954996	0.0021703192402089
Master_cconsumos	0.00164467900322388	0.00175098815619222	0.00129292434075806
tcallcenter	0.00162081266242407	0.00243914964954205	0.00085646895636343
tmobile_app	0.00151821225333824	0.00277002912292808	0.000418518861748273
cextraccion_autoservicio	0.00150817330494099	0.00281981741008816	0.00176076863978381
Master_mpagosdolares	0.00140714576863082	0.00125537203446905	0.000228690663741021
ccajas_otras	0.00135740427948018	0.0151813630476519	0.00146780543656001
mplazo_fijo_dolares	0.00135105542120882	0.00379346403486964	0.0007892069964396
catm_trx	0.00131033426981721	0.00262063443057199	0.00126900897722958
Visa_msaldodolares	0.00124918726593891	0.0041858543775766	0.00140054347663618
matm_other	0.00111171477295393	0.00240128776241534	0.00106871780767863
ctarjeta_master_transacciones	0.00111058637301301	0.00158188255394164	0.000863942507466078
ccajas_transacciones	0.00107244688037275	0.00375523640216399	0.000841521854158134
mttarjeta_master_debitos_automaticos	0.00101145188413593	0.00217365033221986	0.000863942507466078
cseguro_accidentes_personales	0.00100321692901627	0.00116153219145514	0.00133627093715341
Visa_mpagosdolares	0.000998874937811991	0.00155771002400872	0.00110758027341239
mprestamos_prendarios	0.000932841342292656	0.00702021552970445	0.000425992412850921
Visa_Finiciomora	0.000914529228681829	0.0174211642991242	0.00174582153757851
mcaja_ahorro_adicional	0.000904168858574972	0.0115844552884747	0.00141399586862095
Master_Finiciomora	0.000812326656326511	0.0186187265556514	0.000926720336728319
minversion2	0.000764008405916906	0.00529851113840773	0.000425992412850921
cplazo_fijo	0.000610384902787282	0.00219109687235981	0.000325846828075441
cseguro_vida	0.000565726418606936	0.00136336488265143	0.000698029672987298
cseguro_vivienda	0.000533236255701094	0.00121001402906026	0.000943162149154143
Master_mpagado	0.000517712296002309	0.00159698134068203	0.000514180315862164
catm_trx_other	0.000497688283682777	0.00148562379184829	0.000657672497033
Master_mconsumosdolares	0.000494159350595377	0.000596818320102431	0.000252606027269493
tcuentas	0.000484123121163968	0.00361347341576772	0.00117932636399781
Master_mconsumototal	0.000469013237998568	0.000669315758192499	0.000530622128287989
ctarjeta_master_debitos_automaticos	0.000442478381825072	0.000695210465843856	0.000313889146311205
mtarjeta_visa_descuentos	0.000420725011618092	0.00152735409300611	0.000378161685793975
ctarjeta_master	0.00034949696029563	0.000158834736489603	0.000349762191603914
Master_msaldodolares	0.000348202559702667	0.00166276564164372	0.000282500231680084
cseguro_auto	0.000295208929327509	0.00212280003414445	0.000215238271756255
ccajas_extracciones	0.000277147924498107	0.00165362454096822	0.000307910305429086
minversion1_pesos	0.000269694744699346	0.00383845637403693	0.000409550600425096
mcheques_emitidos	0.000245951931281078	0.00270581951139171	0.000188333487786723
Master_delinquency	0.000233342305805729	0.000118637789953064	0.000110608556319186
mcheques_depositados	0.000209549709116042	0.00168824946071519	0.000186838777566193
Visa_delinquency	0.000188047828435248	0.000625029204853898	0.000357235742706561
ccheques_depositados	0.000181465697756247	0.000808380716410262	9.56614541138909e-05
cinversion2	0.000165311308151063	0.00258291344673122	0.000225701243299961
ccheques_emitidos	0.000150622281051296	0.00267463331412369	0.000136018630068189
ccajas_depositos	0.00014544689015715	0.00287051276215149	0.000294457913444321
cprestamos_prendarios	0.000137514156491229	0.00100540294086301	0.00013302920962713
cprestamos_hipotecarios	0.000126741814509123	0.0014499098071204	0.000103135005216539
mcajeros_propios_descuentos	0.000117726269013811	0.00085459072654187	6.57672497033e-05
mpagodeservicios	0.000116993892595297	0.00052161103255592	7.02513803648887e-05
ccajeros_propios_descuentos	9.83483703181667e-05	0.000325878200109438	4.9325437277475e-05
mforex_buy	9.28983804505011e-05	0.00123308313393637	9.865087455495e-05
